School Year,State,Dist Code,District Name,Sch Code,School Name,P-12 Total,K-12 Total,PK Total,Full K Total,Half K Total,Gr 1 Total,Gr 2 Total,Gr 3 Total,Gr 4 Total,Gr 5 Total,Gr 6 Total,Gr 7 Total,Gr 8 Total,Gr 9 Total,Gr 10 Total,Gr 11 Total,Gr 12 Total
2017,WA,34003,North Thurston Public Schools,4427,River Ridge High School,"1,258","1,258",0,0,0,0,0,0,0,0,0,0,0,352,330,281,295
2017,WA,34003,North Thurston Public Schools,4314,South Sound High School,170,170,0,0,0,0,0,1,0,0,0,0,0,0,13,39,117
2017,WA,34003,North Thurston Public Schools,3710,Timberline High School,"1,658","1,658",0,0,0,0,0,0,0,0,0,0,0,360,434,414,450
2017,WA,33211,Northport School District,2958,Northport High School,63,63,0,0,0,0,0,0,0,0,0,0,0,19,15,17,12
2017,WA,17417,Northshore School District,3106,Bothell High School,"1,741","1,741",0,0,0,0,0,0,0,0,0,0,0,0,595,558,588
2017,WA,15201,Oak Harbor School District,2974,Oak Harbor High School,"1,600","1,600",0,0,0,0,0,0,0,0,0,0,0,407,401,374,418
2017,WA,38324,Oakesdale School District,2432,Oakesdale High School,41,41,0,0,0,0,0,0,0,0,0,0,1,10,13,9,8
2017,WA,14400,Oakville School District,2283,Oakville High School,106,106,0,0,0,0,0,0,0,0,25,13,14,12,13,14,15
2017,WA,25101,Ocean Beach School District,4220,Ilwaco High School,272,272,0,0,0,0,0,0,0,0,0,0,0,78,64,69,61
2017,WA,22105,Odessa School District,2443,Odessa High School,111,111,0,0,0,0,0,0,0,0,0,17,18,25,19,13,19
2017,WA,24105,Okanogan School District,1980,Okanogan Alternative High School,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8
2017,WA,24105,Okanogan School District,2246,Okanogan High School,288,288,0,0,0,0,0,0,0,0,0,0,0,87,64,69,68
2017,WA,34111,Olympia School District,1768,Avanti High School,159,159,0,0,0,0,0,0,0,0,0,0,0,12,37,40,70
2017,WA,34111,Olympia School District,3960,Capital High School,"1,411","1,411",0,0,0,0,0,0,0,0,0,0,0,369,345,353,344
2017,WA,34111,Olympia School District,3132,Olympia High School,"1,834","1,834",0,0,0,0,0,0,0,0,0,0,0,434,502,445,453
2017,WA,24019,Omak School District,4279,Highlands High School,15,15,0,0,0,0,0,0,0,0,0,0,0,0,1,4,10
2017,WA,24019,Omak School District,2031,Omak High School,421,421,0,0,0,0,0,0,0,0,0,0,0,113,108,100,100
2017,WA,24019,Omak School District,5197,Washington Virtual Academy Omak High School,"1,202","1,202",0,0,0,0,0,0,0,0,0,0,0,383,328,278,213
2017,WA,21300,Onalaska School District,2331,Onalaska High School,211,211,0,0,0,0,0,0,0,0,0,0,0,46,60,54,51
2017,WA,28137,Orcas Island School District,2750,Orcas Island High School,124,124,0,0,0,0,0,0,0,0,0,0,0,29,33,31,31
2017,WA,24410,Oroville School District,2706,Oroville Middle-High School,263,263,0,0,0,0,1,0,1,0,0,43,46,41,38,51,42
2017,WA,27344,Orting School District,2942,Orting High School,830,830,0,0,0,0,0,0,0,0,0,0,0,197,230,188,215
